ang,fr
swap,echanger
thus,donc
to batch,mettre en lot
heap,tas
although/even though,meme si
to feat,accomplir
weapon,arme
to dug,creuser
hover,flotter
to flood,inondee
blurry,floue
leaf,feuille
matter,question
to tweak,tordre
customer,client
to duck,se baisser
upon,baser sur
a foreign,etranger
to spread,repandre
invoice,une facture
to purchase,acheter
a liable,un responsable
uppercase,majuscule
to stuck,etre coince
mandatory,obligatoire
mess,desordre
chores,taches menageres
to sink,couler
aim,objectif
merely,simplement
a wrapper,un emballage
to expect,s attendre a
above,au dessus
to merge,fusionner
buffer,amortir
crowd,foule
to ensure,s assurer
through,par l intermediaire
a core,un noyau
to involve,impliquer
to enable,autoriser
to attend,participer
several,plusieurs
releases,liberer
to occur,se produire
remain,rester
beside,a cote de
to attract,attirer
to swear,jurer
to trigger,declencher
a gloves,des gants
to hurry,se depecher
to afford,se permettre
the nail,un ongle/le clou
a habits,une habitude
policies,strategie
to order,commander
nonetheless,neanmoins
to quote,citer
ongoing,en cours
to sloppy,bacler
is phony,est bidon/faux
sunburn,coup de soleil
to lend/forward,avancer
a merch,une marchandise
to sweat,transpirer
to gather,rassembler
might/could,pourrait
wonder,se demander
a rope,une corde
to bother,embeter/deranger
a sign,un panneau
a rebate,un remboursement
a wound/an injury,une blessure
instead of,au lieu de
to rid,se debarrasser
the folks,les gens
rather than,plutot que
ultimately/eventually,finalement
to stretch,s'̩tirer
fear,peur/crainte
to bring,apporter
a pitfall,un piege
to struggle,lutter
to expend,depenser
is profitable,est rentable
effective/efficient,efficace
tight,serree/etroit
blather,dire des conneries
useless,inutile
to bear,supporter
at least,au moins
hardware,materiel
slight,leger
tiny,minuscule
